stimnum;pcount;group;closeup;eyecont;luminance;contrast;rgb;complexity
89;1;;0,00;1,00;132,52;50,54;126,45;2,1
91;1;;1,00;0,00;83,64;46,75;85,05;2,49
95;1;;0,00;0,00;103,54;58,84;96,62;3,12
107;1;;1,00;1,00;111,42;53,03;103,15;2,01
110;1;;1,00;0,00;120,62;69,35;120,1;2,28
112;1;;1,00;1,00;56,17;59,25;56,01;1,85
113;1;;1,00;0,00;131,34;80,12;126,86;2,12
116;1;;1,00;0,00;108,92;60,38;107,24;3,87
118;1;;1,00;0,00;76,18;71,14;75,42;3,4
125;1;;0,00;0,00;119,66;67,26;116,87;4,84
127;1;;0,00;0,00;107,88;92,08;105,21;4,39
139;2;;0,00;0,00;89,93;70,98;87,84;7,3
141;1;;0,00;0,00;87,35;70,77;81,23;4,08
144;7;;0,00;0,00;87,86;52,44;84,8;6,67
159;1;;0,00;0,00;133,62;65,87;132,43;4,16
161;2;;0,00;0,00;114,62;59,14;113,52;6,53
167;3;1,00;1,00;0,00;156,53;81,55;155,62;4,55
189;7;;0,00;0,00;90,93;72,51;89,32;8,13
190;7;;0,00;0,00;107,19;56,86;105,44;7,14
202;1;;1,00;0,00;85,02;64,07;78,91;4,32
207;1;;1,00;0,00;138,94;91,93;132,83;4,1
208;2;1,00;1,00;0,00;99,45;68,6;89,82;3,3
209;3;;0,00;1,00;104,7;61,31;98,22;5,07
210;1;;1,00;0,00;104,32;57,61;102,98;3,34
211;1;;1,00;1,00;97,63;61,03;93,8;3,86
212;3;1,00;0,00;1,00;130,05;83,66;129,11;4,78
213;2;1,00;1,00;0,00;121,87;49,5;118,35;4,52
214;1;;1,00;0,00;109,07;60,34;109;3,85
215;3;1,00;0,00;0,00;135,48;69,14;135,09;6,53
216;2;;0,00;0,00;93,97;62,27;90,17;6,41
217;2;1,00;1,00;0,00;99,55;72,18;98,82;5,52
218;3;1,00;1,00;0,00;129,73;70,59;128,48;5,69
219;2;1,00;1,00;0,00;86,52;69,09;86,06;4,16
220;3;1,00;0,00;0,00;113,8;74,39;112,99;6,03
221;2;1,00;1,00;0,00;135,93;82,69;138,86;3,86
222;2;1,00;1,00;0,00;81,32;62,66;80,48;4,34
223;3;1,00;0,00;1,00;87,56;62,19;84,07;5,16
224;1;;1,00;0,00;67,2;56,89;67,67;2,73
225;1;;1,00;0,00;69,84;41,19;68,07;2,23
226;1;;1,00;0,00;153,43;56,05;151,49;2,22
227;4;1,00;0,00;0,00;81,72;58,53;79,15;6,44
228;2;;1,00;0,00;70,92;49,31;68,07;5,4
229;2;1,00;1,00;1,00;119,13;70,81;113,88;4,74
230;2;1,00;1,00;0,00;84,7;81,9;82,41;3,82
231;3;1,00;0,00;1,00;56,68;32,67;62,21;4,52
232;1;;1,00;0,00;109,04;48,73;110,47;3,08
234;1;;1,00;0,00;144;71,81;143,55;3,32
235;1;;1,00;0,00;105,24;58,69;102,56;3,26
238;2;1,00;1,00;0,00;131,83;62,11;128,22;4,59
241;2;1,00;1,00;0,00;72,66;65,1;72,15;5,12
245;3;1,00;1,00;0,00;54,2;50,58;53,05;4,98
246;2;1,00;0,00;0,00;113,34;70,87;112,69;5,36
247;1;;0,00;0,00;135,49;38,51;135,35;3,48
249;2;1,00;0,00;0,00;55,3;54,36;55,05;6,17
250;7;1,00;0,00;0,00;117,75;84,3;116,48;6,99
251;1;;1,00;0,00;72,21;64,18;72,24;3,72
252;1;;0,00;0,00;70,95;70,28;66,74;5,23
253;2;1,00;0,00;0,00;105,38;59,72;106,22;5,52
254;1;;0,00;0,00;102,49;61,17;98,25;4,12
255;2;1,00;1,00;0,00;68,11;70,16;65,67;5,07
