stimnum;pcount;group;closeup;eyecont;luminance;contrast;rgb;complexity
79;1,00;;0,00;0,00;156,06;41,91;155,02;2,57
80;1,00;;1,00;0,00;132,53;73,59;130,24;2,56
81;1,00;;1,00;0,00;143,39;51,88;139,84;3,22
82;1,00;;1,00;0,00;138,97;72,36;139,08;2,7
83;1,00;;1,00;1,00;103,64;41,62;103,65;1,91
84;1,00;;1,00;0,00;152,4;76,45;155,54;2,41
85;1,00;;1,00;0,00;148,31;47,75;144,46;5,12
86;1,00;;1,00;1,00;126,8;72,18;125,12;2,9
87;1,00;;1,00;1,00;134,44;73,13;136,46;2,62
88;1,00;;1,00;0,00;134,71;58,35;135,74;2,82
92;1,00;;1,00;0,00;144,52;47,06;142,58;2,84
94;2,00;1,00;1,00;0,00;111,98;66,47;108,43;4,66
99;2,00;1,00;1,00;0,00;116,78;73,89;117,02;4,36
101;2,00;1,00;1,00;0,00;117,57;56,48;119,34;3,61
103;1,00;;1,00;1,00;189,95;73,67;190,47;1,62
106;1,00;;1,00;0,00;92,23;65,42;88,22;2,88
109;1,00;;1,00;1,00;69,48;38,92;64,32;1,7
111;2,00;1,00;1,00;1,00;128,93;55,46;128,32;3,83
114;1,00;;1,00;0,00;93,03;59,1;90,25;3,39
119;1,00;;1,00;0,00;100,95;63,45;98,92;4,19
121;1,00;;0,00;0,00;134,6;73,78;131,93;4,2
123;1,00;;0,00;0,00;113,27;51,1;112,29;3,46
126;4,00;1,00;0,00;0,00;114,47;55,17;110,98;5,65
130;2,00;1,00;0,00;0,00;101,91;63,41;100,85;5,96
131;1,00;;1,00;0,00;117,27;47,37;114,65;5
132;2,00;1,00;0,00;0,00;101,85;61,58;102,1;7,53
135;4,00;1,00;0,00;0,00;89,12;78,53;86,67;6,48
138;1,00;;0,00;0,00;130,14;56,35;129,46;6,35
142;7,00;;0,00;0,00;76,93;50,26;71,96;5,07
145;1,00;;1,00;0,00;105,35;57,89;100,13;3,21
146;2,00;1,00;1,00;0,00;114,83;69,23;113,4;4,46
147;1,00;;0,00;0,00;107,01;56,68;95,24;5,4
148;2,00;1,00;1,00;0,00;131,58;68;131,48;4,5
150;1,00;;1,00;;111,24;47,62;103,26;2,93
153;2,00;1,00;0,00;0,00;73,44;62,14;71,09;4,69
157;2,00;1,00;0,00;0,00;126,97;41,01;128,87;6,38
158;1,00;;0,00;0,00;106,78;67,25;103,75;5,78
164;3,00;1,00;0,00;0,00;112,57;72,62;113,78;4,73
166;1,00;;0,00;0,00;145,82;52,8;145,83;3,3
168;1,00;;0,00;0,00;130,51;65,67;128,3;5,55
169;7,00;;0,00;0,00;80,07;48,18;78,29;7,63
170;3,00;;0,00;0,00;86,97;60,59;84,92;7,07
171;2,00;1,00;0,00;0,00;90,39;63,7;88,29;6,65
172;7,00;1,00;0,00;0,00;117,39;62,17;114,98;6,8
174;2,00;1,00;0,00;0,00;86,47;68,83;82,11;4,6
175;1,00;;0,00;0,00;119,32;71,5;117,48;3,93
176;1,00;;0,00;0,00;100,07;54,97;99,86;4,07
177;2,00;1,00;0,00;0,00;84,12;62,81;81,19;5,46
178;1,00;;0,00;0,00;101,31;59,77;92,73;3,43
179;2,00;;1,00;0,00;99,08;83,92;97,25;4,79
180;4,00;1,00;0,00;0,00;115,68;75,07;114,5;5,54
181;2,00;1,00;0,00;0,00;124,57;55,4;120,91;4,24
182;2,00;1,00;0,00;0,00;85,46;64,06;72,47;5,06
183;7,00;1,00;0,00;0,00;102,63;56,81;96,19;6,44
184;1,00;;0,00;0,00;92,85;43,13;85,02;3,1
187;4,00;;0,00;0,00;82,02;69,05;82,29;6,33
193;2,00;1,00;0,00;0,00;114,6;71,16;114,17;7,33
199;2,00;1,00;0,00;0,00;107,52;78,96;105,73;5,69
203;3,00;1,00;1,00;0,00;88,66;68,11;83,7;5,91
204;1,00;;0,00;0,00;106,8;67,69;105,59;2,71
