stimnum;pcount;group;closeup;eyecont;luminance;contrast;rgb;complexity
1;1,00;0,00;1,00;1,00;152,74;55,08;148,97;2,02
2;1,00;0,00;1,00;1,00;139,13;44,78;139,31;2,36
3;2,00;1,00;1,00;0,00;148,7;57,29;149,62;3,06
4;1,00;0,00;1,00;0,00;70,45;59,77;60,79;3,46
5;1,00;0,00;1,00;0,00;139,7;66,01;139,41;2,22
6;1,00;0,00;1,00;0,00;146,31;74,24;143,56;2,21
8;1,00;0,00;0,00;0,00;129,75;38,84;128,85;2,49
9;1,00;0,00;1,00;0,00;121,45;62,5;116,82;3,72
10;1,00;0,00;1,00;0,00;151,93;59,68;152,67;2,79
11;2,00;1,00;1,00;0,00;83,74;68,23;82,04;3,79
13;2,00;1,00;1,00;1,00;97,44;79,87;93,71;4,07
15;6,00;1,00;0,00;1,00;105,2;61,06;103,76;5,43
17;4,00;1,00;1,00;1,00;90,43;79,65;88,47;4,86
18;2,00;1,00;1,00;1,00;91,7;59,54;93,83;3,98
20;7,00;0,00;0,00;0,00;157,27;58,49;160,2;5,79
21;2,00;1,00;1,00;1,00;134,33;58,78;134,33;3,31
22;2,00;1,00;1,00;0,00;91,19;63,8;91,07;3,94
23;2,00;1,00;1,00;0,00;132,04;89,75;132,12;4
24;2,00;1,00;1,00;0,00;142,26;49,73;137,9;3,82
25;2,00;1,00;1,00;0,00;139,57;78,36;138,75;3,73
26;3,00;1,00;1,00;0,00;120,48;66,35;113,84;4,12
27;3,00;1,00;1,00;0,00;118,82;67,96;113,59;4,3
28;4,00;1,00;1,00;0,00;125,91;69,76;122,39;5,08
29;4,00;1,00;1,00;1,00;155,9;52,49;155,48;4,03
30;5,00;1,00;0,00;0,00;132,03;59,6;127,42;6,06
31;3,00;1,00;1,00;0,00;97,93;66,5;97,08;5,11
32;2,00;1,00;0,00;0,00;112,09;79,48;107,05;4,3
33;2,00;1,00;1,00;0,00;138,05;63,64;133,45;4,02
34;1,00;0,00;1,00;0,00;105,51;54,53;104,75;2,42
36;1,00;0,00;1,00;1,00;85,69;68,16;81,55;2,08
38;1,00;0,00;1,00;0,00;103,82;42,72;100,01;2,36
39;1,00;0,00;1,00;1,00;98,38;62,4;93,82;5,01
40;1,00;0,00;1,00;1,00;135,26;73,26;134,12;5,58
42;3,00;1,00;0,00;0,00;119,68;76,35;120,4;3,99
43;2,00;1,00;1,00;0,00;92,19;64,6;87,78;4,04
44;2,00;1,00;1,00;0,00;108,72;70,73;99,62;3,99
45;2,00;1,00;0,00;0,00;92,07;54,13;86,68;4,6
46;2,00;1,00;1,00;0,00;101,3;64,11;96,93;3,85
47;2,00;1,00;1,00;0,00;116,07;52,05;116,89;3,51
48;2,00;1,00;1,00;0,00;87,64;83,34;86,2;3,67
49;2,00;1,00;1,00;0,00;83,87;77,27;82,48;3,86
50;2,00;1,00;1,00;0,00;133,44;61,1;131,41;3,88
51;2,00;1,00;1,00;0,00;133,96;61,12;128,59;3,78
52;2,00;1,00;1,00;0,00;141,1;52,65;134,62;4,01
53;2,00;1,00;1,00;0,00;93,37;71,59;88,77;5,01
54;2,00;1,00;1,00;0,00;44,49;47;42,7;4,4
55;6,00;0,00;0,00;0,00;147,53;56,78;143,45;5,22
56;7,00;;0,00;0,00;98,9;71,79;96,63;7,47
57;1,00;;0,00;0,00;140,56;63,43;141,12;3,66
61;5,00;1,00;0,00;0,00;161,96;63,53;158,58;6,14
62;7,00;1,00;0,00;0,00;124,11;60,3;135,18;5,58
63;2,00;1,00;1,00;1,00;156,33;66,88;154,98;3,42
66;1,00;;0,00;0,00;136;68,63;143,46;3,25
69;2,00;1,00;0,00;0,00;204,26;22,93;203,86;4,3
73;2,00;1,00;0,00;0,00;126,48;57,93;121,64;4,78
74;1,00;;0,00;0,00;161,45;54,75;162,99;2,28
75;1,00;;0,00;0,00;129,8;53;131,86;3,06
76;4,00;1,00;1,00;0,00;111,54;62,12;100,8;4,36
77;1,00;;0,00;0,00;81,83;63,04;76,98;4,69
78;2,00;1,00;1,00;0,00;113,92;68,79;105,89;5,09
