stimnum;norms_valence;norms_arousal
89;4,07;4,09
91;4,24;3,98
95;4,55;3,51
107;4,65;2,79
110;4,32;3,44
112;4,65;3,13
113;4,41;2,96
116;4,66;3,66
118;4,68;3,13
125;4,69;2,86
127;4,69;3,3
139;4,67;3,31
141;4,68;2,41
144;4,7;2,68
159;4,29;3,26
161;4,7;2,72
167;4,46;3,63
189;4,43;4,08
190;4,43;3,57
202;4,58;3,61
207;2,87;5,31
208;2,67;5,82
209;2,54;6,26
210;2,59;6,21
211;2,18;6,76
212;2,48;6,13
213;2,3;6,77
214;2,24;6,55
215;2,34;6,39
216;2,68;6,47
217;3,59;5,93
218;2,86;5,52
219;2,98;5,73
220;2,74;5,98
221;4,21;4,74
222;2,89;5,58
223;3,11;5,43
224;2,92;4,94
225;2,74;5,41
226;2,81;5,5
227;2,46;6,67
228;2,82;5,78
229;2,81;6,72
230;2,86;6,36
231;2,19;6,56
232;2,11;6,42
234;1,74;6,88
235;2,17;6,61
238;2,52;6,33
241;1,85;6,98
245;2,57;6,08
246;2,9;5,65
247;2,3;6,1
249;2,46;6,36
250;2,3;6,53
251;2,54;5,75
252;2,21;6,12
253;3,96;4,9
254;2,64;5,74
255;3,53;5,86
