stimnum;norms_valence;norms_arousal
79;5,59;3,53
80;5,56;3,56
81;5,58;3,35
82;5,64;3,22
83;5,01;3,33
84;5,12;3,54
85;5,09;3,23
86;5,17;3,42
87;4,74;3,38
88;5,41;3,39
92;5,39;3,16
94;5,29;3,63
99;5,44;3,49
101;5,7;3,33
103;5,16;2,6
106;5,07;2,41
109;4,96;2,96
111;5,51;3,19
114;5,01;2,56
119;5,03;2,76
121;5,08;3,04
123;4,96;3,13
126;5,26;2,83
130;5,18;3,09
131;5,16;3,18
132;5,01;3,33
135;4,93;3,44
138;4,91;2,68
142;5,04;3,2
145;5,29;2,7
146;5,37;2,88
147;5,66;3,22
148;5,3;2,72
150;5,18;3,06
153;5,68;3,62
157;5,29;3,54
158;5;3,12
164;4,99;2,98
166;5,09;2,82
168;5,16;2,88
169;5,41;2,93
170;5,62;3,25
171;4,96;2,63
172;4,99;2,84
174;5,7;3,37
175;5,43;3,12
176;5,12;2,48
177;5,04;2,7
178;5,04;2,39
179;5,62;2,82
180;4,98;3,03
181;5,44;2,9
182;5,71;2,93
183;5,34;3,19
184;5,71;3,06
187;5,02;3,21
193;5,32;3,72
199;5,3;2,93
203;5,57;3,04
204;5,71;3,13
