stimnum;norms_valence;norms_arousal
1;7,48;4,57
2;7,29;4,6
3;7,3;4,61
4;7,38;4,44
5;7,33;4,81
6;7,27;5,02
8;7,12;5,01
9;6,87;3,63
10;6,89;4,52
11;7,31;4,47
13;7,52;4,53
15;7,02;4,5
17;7,08;4,2
18;7,13;4,69
20;6,91;4,89
21;7,49;4,98
22;7,29;4,59
23;7,64;4,79
24;7,57;4,63
25;7,03;4,63
26;7,31;4,6
27;6,89;4,5
28;7,76;5,07
29;7,18;4,56
30;6,94;3,66
31;7,07;4,5
32;7,44;4,96
33;7,14;4,36
34;7,1;4,51
36;7,11;4,31
38;6,92;4,33
39;6,9;4,38
40;6,87;4,6
42;6,98;4,28
43;7,19;5,03
44;7,12;4,83
45;6,9;4,71
46;7;4,55
47;7;4,57
48;7,41;5,09
49;7,16;4,88
50;7,1;5,57
51;7,12;5,7
52;7,21;6,12
53;6,98;6,11
54;7;5,92
55;7,44;5,23
56;7,04;5,87
57;7,16;5,5
61;6,86;6,26
62;6,9;5,72
63;7,09;6,09
66;6,91;5,38
69;7,08;5,17
73;6,96;4,66
74;7,21;4,93
75;7,01;5,33
76;6,99;4,62
77;7,09;5,55
78;6,93;5,68
