INCASI_ID;hbpc_1;hbpc_2;hbpc_3;hbpc_4;hbpc_5
inc04;15;28;9;41;26
inc05;17;23;12;32;20
inc06;17;NA;NA;NA;NA
inc07;29;40;16;37;27
inc08;NA;38;12;24;29
inc09;22;37;13;38;25
inc10;23;37;11;34;39
inc11;20;36;15;48;26
inc12;25;49;16;49;29
inc13;28;48;15;54;31
inc14;NA;38;14;52;22
inc15;19;35;9;31;26
inc16;16;20;9;39;26
inc17;24;44;13;48;24
inc18;20;39;13;38;24
inc19;25;50;19;62;45
inc20;20;39;15;48;24
inc21;23;43;13;39;27
inc22;19;19;7;30;22
inc23;17;24;8;42;20
inc24;28;30;11;54;36
inc25;21;35;13;45;34
inc26;21;37;14;49;29
inc27;22;NA;13;25;27
inc28;16;32;11;40;26
inc29;NA;NA;NA;NA;NA
inc30;25;50;18;66;44
inc31;19;33;11;41;28
inc32;27;34;11;47;29
inc33;19;30;9;27;15
inc34;30;53;22;72;47
inc35;31;57;16;63;36
inc36;25;40;14;36;16
inc37;18;29;10;44;9
inc38;23;44;15;55;31
inc39;25;41;18;48;27
inc40;20;30;11;56;17
inc41;36;53;17;42;21
inc42;22;26;13;38;21
inc43;20;26;10;24;22
inc44;24;51;18;64;35
inc45;19;26;10;28;19
inc46;18;29;15;47;26
inc47;30;49;14;55;32
inc48;17;32;9;37;20
inc49;17;29;8;30;22
inc50;24;42;15;33;34
