vp;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20
inc04;3;2;1;1;2;3;4;1;1;4;1;1;4;1;1;4;1;1;4;1
inc05;3;4;2;2;1;2;3;1;4;4;1;2;4;2;1;4;2;1;3;2
inc06;2;2;2;3;2;3;2;3;1;1;3;1;3;1;3;1;2;1;2;1
inc07;2;2;1;2;3;2;3;2;3;3;2;3;3;2;2;2;2;2;3;2
inc08;3;2;1;1;4;3;4;2;4;3;3;2;4;3;1;3;2;2;4;2
inc09;3;2;2;1;1;3;4;1;3;2;2;2;3;4;2;4;3;1;3;1
inc10;3;2;2;2;1;2;2;2;1;3;1;2;3;3;1;4;1;1;3;1
inc11;4;2;2;1;2;2;4;2;3;3;2;3;3;1;2;3;2;1;4;2
inc12;4;3;2;2;3;2;4;3;1;4;1;4;3;3;2;3;2;4;2;3
inc13;3;3;2;2;1;1;2;1;3;3;3;1;2;1;2;2;2;2;2;3
inc14;2;2;2;1;1;2;2;3;3;3;1;2;3;3;2;3;2;3;2;3
inc15;3;1;1;1;2;2;3;1;3;3;1;2;2;1;1;3;1;2;3;1
inc16;3;3;1;1;2;3;4;1;1;3;1;3;3;1;1;3;1;1;3;2
inc17;3;2;1;1;2;3;3;2;2;3;1;2;3;2;2;4;2;1;4;2
inc18;4;2;1;1;1;3;3;2;2;3;1;2;3;3;1;3;2;1;3;2
inc19;2;2;2;2;2;3;3;2;2;2;2;3;1;2;2;2;1;2;3;2
inc20;2;2;2;2;3;3;3;2;3;3;2;2;2;3;2;2;2;2;3;2
inc21;3;2;3;3;4;3;3;3;3;2;4;4;2;4;3;2;2;3;2;3
inc22;4;1;2;1;2;4;4;1;2;4;1;3;2;3;1;3;1;2;3;2
inc23;3;2;1;1;2;3;3;2;3;3;2;3;2;2;2;3;2;1;3;1
inc24;2;3;2;2;2;2;2;2;3;2;3;3;2;3;3;2;3;2;2;2
inc25;3;2;3;1;1;2;2;3;3;3;3;3;2;2;3;3;3;3;2;4
inc26;3;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2
inc27;3;3;1;1;2;3;4;2;1;3;2;1;3;1;2;2;1;2;3;2
inc28;3;2;2;1;1;2;3;2;2;3;3;2;2;1;2;2;1;1;2;3
inc29;3;2;2;1;2;3;3;2;4;3;2;1;2;1;2;4;2;4;4;3
inc30;2;2;2;3;1;3;3;1;2;2;2;1;2;1;3;2;1;3;3;3
inc31;3;2;1;1;2;3;3;1;1;4;1;1;3;2;1;3;1;1;4;1
inc32;2;2;2;1;3;3;3;2;3;2;3;2;3;3;2;3;2;2;3;3
inc33;3;1;2;3;2;4;3;1;2;2;3;2;3;3;2;3;1;1;3;1
inc34;2;4;1;2;2;2;4;1;2;2;3;3;1;2;2;2;2;4;3;2
inc35;3;2;1;2;3;3;3;2;3;3;1;2;3;1;1;3;2;1;3;2
inc36;3;3;2;1;2;2;3;1;2;3;3;2;2;2;2;3;1;1;4;1
inc37;2;2;1;3;3;2;3;2;3;1;3;2;2;2;2;2;2;3;2;2
inc38;3;2;1;1;1;3;3;1;2;3;1;2;4;2;2;4;2;2;4;1
inc39;3;3;1;1;1;2;3;2;1;4;1;2;2;1;2;2;1;1;4;1
inc40;3;2;2;1;2;3;3;2;2;3;1;2;3;2;2;3;2;1;4;2
inc41;2;3;2;2;3;2;2;3;3;2;2;2;3;3;2;2;3;2;2;4
inc42;3;2;2;1;2;3;3;1;2;4;1;2;3;2;2;4;2;1;4;1
inc43;3;2;1;1;2;3;4;1;3;3;3;1;2;1;2;3;2;2;4;2
inc44;3;1;1;2;3;3;3;3;3;4;2;2;2;2;1;3;2;3;3;1
inc45;3;3;2;2;1;3;4;2;3;4;2;4;3;3;2;3;3;3;3;4
inc46;3;2;2;1;1;3;4;1;1;4;1;1;3;1;2;4;1;1;4;1
inc47;3;2;2;1;2;1;2;2;4;2;4;2;3;2;3;3;2;2;2;3
inc48;4;2;1;1;2;3;3;2;2;4;2;1;4;3;1;4;1;3;4;2
inc49;2;2;2;3;2;4;3;2;3;2;3;3;3;3;3;2;2;3;2;2
inc50;3;1;1;1;2;3;2;1;1;3;1;2;2;1;1;3;1;2;3;1
